municipio,departamento,votantes_2021,votantes_2025,diferencia_num,diferencia_porc
Juan Francisco Bulnes,Gracias a Dios,3869,4889,1020,21%
Ramón Villeda Morales,Gracias a Dios,4430,5235,805,15%
Wampusirpi,Gracias a Dios,3925,4767,842,18%
La Esperanza,Intibucá,9365,11096,1731,16%
Camasca,Intibucá,4002,4689,687,15%
Colomoncagua,Intibucá,9955,11155,1200,11%
Concepción,Intibucá,5742,6404,662,10%
Dolores,Intibucá,3366,3874,508,13%
Intibucá,Intibucá,33893,39476,5583,14%
Jesús de Otoro,Intibucá,18419,21010,2591,12%
Magdalena,Intibucá,2932,3409,477,14%
Masaguara,Intibucá,8746,9657,911,9%
San Antonio,Intibucá,3777,4269,492,12%
San Isidro,Intibucá,3583,4364,781,18%
San Juan,Intibucá,9169,10930,1761,16%
San Marcos de Sierra,Intibucá,4958,5793,835,14%
San Miguelito,Intibucá,4800,5495,695,13%
Santa Lucía,Intibucá,3212,3787,575,15%
Yamaranguila,Intibucá,13416,15522,2106,14%
San Francisco de Opalaca,Intibucá,6911,7716,805,10%
Roatán,Islas de la Bahía,30510,36147,5637,16%
Guanaja,Islas de la Bahía,3105,4211,1106,26%
José Santos Guardiola,Islas de la Bahía,7872,9433,1561,17%
Utila,Islas de la Bahía,2419,3417,998,29%
La Paz,La Paz,28125,31748,3623,11%
Aguanqueterique,La Paz,3781,4219,438,10%
Cabañas,La Paz,2245,2734,489,18%
Cané,La Paz,2727,3529,802,23%
Chinacla,La Paz,4807,5577,770,14%
Guajiquiro,La Paz,7497,7696,199,3%
Lauterique,La Paz,2377,2606,229,9%
Marcala,La Paz,18122,21078,2956,14%
Mercedes de Oriente,La Paz,1020,1179,159,13%
Opatoro,La Paz,5057,5555,498,9%
San Antonio del Norte,La Paz,1984,2296,312,14%
San José,La Paz,5745,6532,787,12%
San Juan,La Paz,1526,1783,257,14%
San Pedro de Tutule,La Paz,5316,6169,853,14%
Santa Ana,La Paz,6821,7781,960,12%
Santa Elena,La Paz,7696,8895,1199,13%
Santa María,La Paz,7306,8117,811,10%
Santiago de Puringla,La Paz,10844,12412,1568,13%
Yarula,La Paz,5416,6167,751,12%
Gracias,Lempira,29235,34053,4818,14%
Belén,Lempira,4461,5040,579,11%
Candelaria,Lempira,4257,4855,598,12%
Cololaca,Lempira,4363,4870,507,10%
Erandique,Lempira,9844,11203,1359,12%
Gualcince,Lempira,6497,7188,691,10%
Guarita,Lempira,5246,5796,550,9%
La Campa,Lempira,4221,4979,758,15%
La Iguala,Lempira,15740,17340,1600,9%
Las Flores,Lempira,6421,7331,910,12%
La Unión,Lempira,8433,9422,989,10%
La Virtud,Lempira,3972,4648,676,15%
Lepaera,Lempira,21273,24138,2865,12%
Mapulaca,Lempira,2692,3244,552,17%
Piraera,Lempira,7222,8344,1122,13%
San Andrés,Lempira,8442,9499,1057,11%
San Francisco,Lempira,5176,5836,660,11%
San Juan de Guarita,Lempira,1828,2059,231,11%
San Manuel Colohete,Lempira,9252,10546,1294,12%
San Rafael,Lempira,7696,8726,1030,12%
San Sebastián,Lempira,6529,7351,822,11%
Santa Cruz,Lempira,4177,4848,671,14%
Talgua,Lempira,5886,6446,560,9%
Tambla,Lempira,2097,2415,318,13%
Tomalá,Lempira,4135,4706,571,12%
Valladolid,Lempira,2641,2874,233,8%
Virginia,Lempira,1753,1994,241,12%
San Marcos de Caiquín,Lempira,3675,4187,512,12%
Ocotepeque,Ocotepeque,14430,17223,2793,16%
Belén Gualcho,Ocotepeque,9695,10745,1050,10%
Concepción,Ocotepeque,3524,3987,463,12%
Dolores Merendón,Ocotepeque,2691,3101,410,13%
Fraternidad,Ocotepeque,3395,4025,630,16%
La Encarnación,Ocotepeque,3378,3850,472,12%
La Labor,Ocotepeque,6385,7217,832,12%
Lucerna,Ocotepeque,3700,4507,807,18%
Mercedes,Ocotepeque,4589,5089,500,10%
San Fernando,Ocotepeque,4291,4767,476,10%
San Francisco del Valle,Ocotepeque,6140,6912,772,11%
San Jorge,Ocotepeque,2701,2935,234,8%
San Marcos,Ocotepeque,13810,15749,1939,12%
Santa Fe,Ocotepeque,3588,4271,683,16%
Sensenti,Ocotepeque,6859,7614,755,10%
Sinuapa,Ocotepeque,5752,6726,974,14%
Juticalpa,Olancho,69043,79299,10256,13%
Campamento,Olancho,13998,17744,3746,21%
Catacamas,Olancho,66157,75842,9685,13%
Concordia,Olancho,5469,6796,1327,20%
Dulce Nombre de Culmí,Olancho,17488,20306,2818,14%
El Rosario,Olancho,2619,3301,682,21%
Esquipulas del Norte,Olancho,5132,7023,1891,27%
Gualaco,Olancho,12528,14227,1699,12%
Guarizama,Olancho,4505,5215,710,14%
Guata,Olancho,6212,7517,1305,17%
Guayape,Olancho,7552,8039,487,6%
Jano,Olancho,3573,4354,781,18%
La Unión,Olancho,4551,5248,697,13%
Mangulile,Olancho,4863,5694,831,15%
Manto,Olancho,6661,7464,803,11%
Salamá,Olancho,4431,5465,1034,19%
San Esteban,Olancho,15421,18027,2606,14%
San Francisco de Becerra,Olancho,5849,7963,2114,27%
San Francisco de La Paz,Olancho,10988,12255,1267,10%
Santa María del Real,Olancho,6699,8241,1542,19%
Silca,Olancho,4763,5460,697,13%
Yocón,Olancho,5478,6735,1257,19%
Patuca,Olancho,19661,24387,4726,19%
Santa Bárbara,Santa Bárbara,27613,32377,4764,15%
Arada,Santa Bárbara,7886,8886,1000,11%
Atima,Santa Bárbara,10993,12330,1337,11%
Azacualpa,Santa Bárbara,13236,15486,2250,15%
Ceguaca,Santa Bárbara,4124,4769,645,14%
Concepción del Norte,Santa Bárbara,13485,15132,1647,11%
Concepción del Sur,Santa Bárbara,6127,7227,1100,15%
Chinda,Santa Bárbara,4788,5344,556,10%
El Níspero,Santa Bárbara,3626,4367,741,17%
Gualala,Santa Bárbara,5788,6539,751,11%
Ilama,Santa Bárbara,4009,4919,910,18%
Macuelizo,Santa Bárbara,6608,7556,948,13%
Naranjito,Santa Bárbara,22533,26422,3889,15%
Nuevo Celilac,Santa Bárbara,7195,8404,1209,14%
Petoa,Santa Bárbara,5021,5776,755,13%
Protección,Santa Bárbara,8875,10402,1527,15%
Quimistán,Santa Bárbara,8499,10107,1608,16%
San Francisco de Ojuera,Santa Bárbara,29608,35255,5647,16%
San José de Colinas,Santa Bárbara,4538,5357,819,15%
San Luis,Santa Bárbara,14853,17816,2963,17%
San Marcos,Santa Bárbara,10225,11784,1559,13%
San Nicolás,Santa Bárbara,9412,10811,1399,13%
San Pedro Zacapa,Santa Bárbara,7952,9448,1496,16%
San Vicente Centenario,Santa Bárbara,2902,3214,312,10%
Santa Rita,Santa Bárbara,2800,3226,426,13%
Trinidad,Santa Bárbara,13194,15162,1968,13%
Las Vegas,Santa Bárbara,14886,18631,3745,20%
Nueva Frontera,Santa Bárbara,8158,9824,1666,17%
Nacaome,Valle,34880,41784,6904,17%
Alianza,Valle,5196,6194,998,16%
Amapala,Valle,8114,9474,1360,14%
Aramecina,Valle,4756,5791,1035,18%
Caridad,Valle,2642,3151,509,16%
Goascorán,Valle,10022,11142,1120,10%
Langue,Valle,13159,15303,2144,14%
San Francisco de Coray,Valle,6683,7691,1008,13%
San Lorenzo,Valle,27984,32203,4219,13%
Yoro,Yoro,49282,57760,8478,15%
Arenal,Yoro,4662,5982,1320,22%
El Negrito,Yoro,25615,29763,4148,14%
El Progreso,Yoro,118491,136803,18312,13%
Jocón,Yoro,5952,6928,976,14%
Morazán,Yoro,24135,28188,4053,14%
Olanchito,Yoro,63391,70545,7154,10%
Santa Rita,Yoro,14026,18284,4258,23%
Sulaco,Yoro,10595,12501,1906,15%
Victoria,Yoro,17715,20268,2553,13%
Yorito,Yoro,11598,13276,1678,13%
Voto en el exterior,Voto en el exterior,15320,399357,384037,96%
