Municipality,Department,Electors2021,Electors2025,Difference,PercentChange
San Marcos de Sierra,Intibuca,4958,5793,835,14%
San Miguel Guancapla,Intibuca,4800,5495,695,13%
Santa Lucia,Intibuca,3212,3787,575,15%
Yamaranguila,Intibuca,13416,15522,2106,14%
San Francisco de Opalaca,Intibuca,6911,7716,805,10%
Roatan,Islas de la Bahia,30510,36147,5637,16%
Guanaja,Islas de la Bahia,3105,4211,1106,26%
Jose Santos Guardiola,Islas de la Bahia,7872,9433,1561,17%
Utila,Islas de la Bahia,2419,3417,998,29%
La Paz,La Paz,28125,31748,3623,11%
Aguanqueterique,La Paz,3781,4219,438,10%
Cabañas,La Paz,La Paz,2245,2734,489,18%
Cane,La Paz,2727,3529,802,23%
Chinacla,La Paz,4807,5577,770,14%
Guajiquiro,La Paz,7497,7696,199,3%
Lauterique,La Paz,2377,2606,229,9%
Marcala,La Paz,18122,21078,2956,14%
Mercedes de Oriente,La Paz,1020,1179,159,13%
Opatoro,La Paz,5057,5555,498,9%
San Antonio del Norte,La Paz,1984,2296,312,14%
San Jose,La Paz,5745,6532,787,12%
San Juan,La Paz,1526,1783,257,14%
San Pedro de Tutule,La Paz,5316,6169,853,14%
Santa Ana,La Paz,6821,7781,960,12%
Santa Elena,La Paz,7696,8895,1199,13%
Santa Maria,La Paz,7306,8117,811,10%
Santiago de Puringla,La Paz,10844,12412,1568,13%
Yarula,La Paz,5416,6167,751,12%
Gracias,Lempira,29235,34053,4818,14%
Belen,Lempira,4461,5040,579,11%
Candelaria,Lempira,4257,4855,598,12%
Cololaca,Lempira,4363,4870,507,10%
Erandique,Lempira,9844,11203,1359,12%
Gualcince,Lempira,6497,7188,691,10%
Guarita,Lempira,5246,5796,550,9%
La Campa,Lempira,4221,4979,758,15%
La Iguala,Lempira,15740,17340,1600,9%
Las Flores,Lempira,6421,7331,910,12%
La Union,Lempira,8433,9422,989,10%
La Virtud,Lempira,3972,4648,676,15%
Lepaera,Lempira,21273,24138,2865,12%
Mapulaca,Lempira,2692,3244,552,17%
Piraera,Lempira,7222,8344,1122,13%
San Andres,Lempira,8442,9499,1057,11%
San Francisco,Lempira,5176,5836,660,11%
San Juan de Guarita,Lempira,1828,2059,231,11%
San Manuel Colohete,Lempira,9252,10546,1294,12%
San Rafael,Lempira,7696,8726,1030,12%
San Sebastian,Lempira,6529,7351,822,11%
Santa Cruz,Lempira,4177,4848,671,14%
Talgua,Lempira,5886,6446,560,9%
Tambla,Lempira,2097,2415,318,13%
Tomala,Lempira,4135,4706,571,12%
Valladolid,Lempira,2641,2874,233,8%
Virginia,Lempira,1753,1994,241,12%
San Marcos de Caiquin,Lempira,3675,4187,512,12%
Ocotepeque,Ocotepeque,14430,17223,2793,16%
Belen Gualcho,Ocotepeque,9695,10745,1050,10%
Concepcion,Ocotepeque,3524,3987,463,12%
Dolores Merendon,Ocotepeque,2691,3101,410,13%
La Fraternidad,Ocotepeque,3395,4025,630,16%
La Encarnacion,Ocotepeque,3378,3850,472,12%
La Labor,Ocotepeque,6385,7217,832,12%
Lucerna,Ocotepeque,3700,4507,807,18%
Mercedes,Ocotepeque,4589,5089,500,10%
San Fernando,Ocotepeque,4291,4767,476,10%
San Francisco del Valle,Ocotepeque,6140,6912,772,11%
San Jorge,Ocotepeque,2701,2935,234,8%
San Marcos,Ocotepeque,13810,15749,1939,12%
Santa Fe,Ocotepeque,3588,4271,683,16%
Sensenti,Ocotepeque,6859,7614,755,10%
Sinuapa,Ocotepeque,5752,6726,974,14%
Juticalpa,Olancho,69043,79299,10256,13%
Campamento,Olancho,13998,17744,3746,21%
Catacamas,Olancho,66157,75842,9685,13%
Concordia,Olancho,5469,6796,1327,20%
Dulce Nombre de Culmi,Olancho,17488,20306,2818,14%
El Rosario,Olancho,2619,3301,682,21%
Esquipulas del Norte,Olancho,5132,7023,1891,27%
Gualaco,Olancho,12528,14227,1699,12%
Guarizama,Olancho,4505,5215,710,14%
Guata,Olancho,6212,7517,1305,17%
Guayape,Olancho,7552,8039,487,6%
Jano,Olancho,3573,4354,781,18%
La Union,Olancho,4551,5248,697,13%
Mangulile,Olancho,4863,5694,831,15%
Manto,Olancho,6661,7464,803,11%
Salama,Olancho,4431,5465,1034,19%
San Esteban,Olancho,15421,18027,2606,14%
San Francisco de Becerra,Olancho,5849,7963,2114,27%
San Francisco de La Paz,Olancho,10988,12255,1267,10%
Santa Maria del Real,Olancho,6699,8241,1542,19%
Silca,Olancho,4763,5460,697,13%
Yocon,Olancho,5478,6735,1257,19%
Patuca,Olancho,19661,24387,4726,19%
Santa Barbara,Santa Barbara,27613,32377,4764,15%
Arada,Santa Barbara,7886,8886,1000,11%
Atima,Santa Barbara,10993,12330,1337,11%
Azacualpa,Santa Barbara,13236,15486,2250,15%
Ceguaca,Santa Barbara,4124,4769,645,14%
Concepcion del Norte,Santa Barbara,13485,15132,1647,11%
Concepcion del Sur,Santa Barbara,6127,7227,1100,15%
Chinda,Santa Barbara,4788,5344,556,10%
El Nispero,Santa Barbara,3626,4367,741,17%
Gualala,Santa Barbara,5788,6539,751,11%
Ilama,Santa Barbara,4009,4919,910,18%
Macuelizo,Santa Barbara,6608,7556,948,13%
Naranjito,Santa Barbara,22533,26422,3889,15%
Nuevo Celilac,Santa Barbara,7195,8404,1209,14%
Petoa,Santa Barbara,5021,5776,755,13%
Proteccion,Santa Barbara,8875,10402,1527,15%
Quimistan,Santa Barbara,8499,10107,1608,16%
San Francisco de Ojuera,Santa Barbara,29608,35255,5647,16%
San Jose de Colinas,Santa Barbara,4538,5357,819,15%
San Luis,Santa Barbara,14853,17816,2963,17%
San Marcos,Santa Barbara,10225,11784,1559,13%
San Nicolas,Santa Barbara,9412,10811,1399,13%
San Pedro Zacapa,Santa Barbara,7952,9448,1496,16%
